x,y,z,t,mu,alpha
0.0000,-2.1006,401.5894,0.0000,0.0000,0.0000
12.5011,-3.0008,407.6387,1.0000,-1.8153,10.1692
15.1963,-3.0551,414.0471,2.0000,-1.0827,10.1680
16.3929,-3.0476,411.4085,3.0000,-0.0867,10.1674
23.7834,-2.9863,402.8918,4.0000,-0.0359,10.1674
38.1563,-2.8606,403.9711,5.0000,0.0015,10.1674
44.2310,-2.8077,411.7308,6.0000,0.0007,10.1674
46.1620,-2.7909,412.3657,7.0000,0.0003,10.1674
50.9955,-2.7489,405.1903,8.0000,0.0002,10.1674
64.4176,-2.6323,401.7320,9.0000,0.0000,10.1674
74.1203,-2.5480,408.6550,10.0000,0.0000,10.1674
77.3263,-2.5202,412.0854,11.0000,0.0000,10.1674
81.0665,-2.4877,407.2567,12.0000,0.0000,10.1674
92.0327,-2.3925,401.1544,13.0000,0.0000,10.1674
104.4153,-2.2849,405.3401,14.0000,0.0000,10.1674
109.5128,-2.2407,410.6620,15.0000,0.0000,10.1674
113.1577,-2.2090,408.4634,16.0000,0.0000,10.1674
121.6080,-2.1356,401.7510,17.0000,0.0000,10.1674
134.9664,-2.0196,402.4086,18.0000,0.0000,10.1674
142.4450,-1.9546,408.3516,19.0000,0.0000,10.1674
146.5702,-1.9188,408.6587,20.0000,0.0000,10.1674
153.2291,-1.8610,402.7851,21.0000,0.0000,10.1674
165.9696,-1.7503,400.3431,22.0000,0.0000,10.1674
175.8167,-1.6648,405.5301,23.0000,0.0000,10.1674
180.8503,-1.6211,407.9149,24.0000,0.0000,10.1674
186.5707,-1.5714,403.6691,25.0000,0.0000,10.1674
197.7866,-1.4740,399.2756,26.0000,0.0000,10.1674
209.3878,-1.3732,402.6176,27.0000,0.0000,10.1674
215.7237,-1.3182,406.3949,28.0000,0.0000,10.1674
221.1730,-1.2709,404.0779,29.0000,0.0000,10.1674
230.6985,-1.1881,398.9983,30.0000,0.0000,10.1674
243.0756,-1.0806,400.0031,31.0000,0.0000,10.1674
250.9849,-1.0119,404.3133,32.0000,0.0000,10.1674
256.6270,-0.9629,403.8899,33.0000,0.0000,10.1674
264.7727,-0.8922,399.1384,34.0000,0.0000,10.1674
276.9638,-0.7863,397.9575,35.0000,0.0000,10.1674
286.4495,-0.7039,401.9128,36.0000,0.0000,10.1674
292.6339,-0.6502,403.1048,37.0000,0.0000,10.1674
299.8835,-0.5873,399.3370,38.0000,0.0000,10.1674
311.2314,-0.4887,396.5720,39.0000,0.0000,10.1674
321.9787,-0.3954,399.4429,40.0000,0.0000,10.1674
328.9902,-0.3345,401.7928,41.0000,0.0000,10.1674
335.8074,-0.2753,399.3388,42.0000,-0.0000,10.1674
346.0484,-0.1863,395.7628,43.0000,0.0000,10.1674
357.5140,-0.0867,397.1336,44.0000,-0.0000,10.1674
365.0568,3.3377,399.4329,45.0000,-45.0000,11.6694
367.9744,10.5528,397.8044,46.0000,-43.4409,11.5354
365.5104,20.4522,394.8707,47.0000,-23.0907,10.4832
359.3711,29.8998,395.8783,48.0000,-7.7943,10.2012
353.9445,36.3054,398.4346,49.0000,-4.1435,10.1769
349.0338,41.5156,397.6013,50.0000,-2.2421,10.1702
342.5344,48.0111,394.4043,51.0000,-1.3481,10.1684
334.3907,55.8416,394.0744,52.0000,-0.5437,10.1675
327.6343,62.2293,396.5440,53.0000,-0.2468,10.1674
322.2467,67.2878,396.7839,54.0000,-0.1380,10.1674
316.0336,73.1010,394.0182,55.0000,-0.0821,10.1674
308.0330,80.5690,392.6331,56.0000,-0.0394,10.1674
300.6732,87.4308,394.5912,57.0000,-0.0154,10.1674
294.9500,92.7643,395.6572,58.0000,-0.0086,10.1674
289.0381,98.2725,393.6045,59.0000,-0.0049,10.1674
281.4510,105.3405,391.5458,60.0000,-0.0026,10.1674
273.7158,112.5459,392.7108,61.0000,-0.0010,10.1674
267.5759,118.2651,394.2791,62.0000,-0.0005,10.1674
261.7973,123.6477,393.0620,63.0000,-0.0003,10.1674
254.6728,130.2839,390.7418,64.0000,-0.0002,10.1674
246.7901,137.6263,391.0144,65.0000,-0.0001,10.1674
240.1972,143.7673,392.7357,66.0000,-0.0000,10.1674
234.3952,149.1716,392.3424,67.0000,-0.0000,10.1674
227.6847,155.4221,390.1247,68.0000,-0.0000,10.1674
219.8641,162.7067,389.5778,69.0000,-0.0000,10.1674
212.8497,169.2402,391.1305,70.0000,-0.0000,10.1674
206.8964,174.7855,391.4432,71.0000,-0.0000,10.1674
200.4979,180.7454,389.5997,72.0000,-0.0000,10.1674
192.8934,187.8286,388.4322,73.0000,-0.0000,10.1674
185.5517,194.6671,389.5688,74.0000,-0.0000,10.1674
